Company Name,Type,Ex-Date,Record Date,Date Paid/Payable,Particulars
"MAPLETREE LOGISTICS TRUST","DIVIDEND","27 Oct 2014","29 Oct 2014","28 Nov 2014","010714 - 300914 SGD 0.0104 LESS TAX"
"MIDAS HLDGS LIMITED","DIVIDEND","27 Oct 2014","29 Oct 2014","10 Nov 2014","SGD 0.0025 ONE-TIER TAX"
"CAPITALAND MALL TRUST","DIVIDEND","24 Oct 2014","28 Oct 2014","28 Nov 2014","SGD 0.0272 LESS TAX"
"FIRST REAL ESTATE INV TRUST","DIVIDEND","24 Oct 2014","28 Oct 2014","28 Nov 2014","DRP SGD 0.0067"
"FIRST REAL ESTATE INV TRUST","DIVIDEND","24 Oct 2014","28 Oct 2014","28 Nov 2014","DRP SGD 0.0124 TAX EXEMPT"
"FIRST REAL ESTATE INV TRUST","DIVIDEND","24 Oct 2014","28 Oct 2014","28 Nov 2014","DRP SGD 0.0011 LESS TAX"
"GUOCOLAND LIMITED","DIVIDEND","24 Oct 2014","28 Oct 2014","18 Nov 2014","SGD 0.05 ONE-TIER TAX"
"RYOBI KISO HOLDINGS LTD.","DIVIDEND","24 Oct 2014","28 Oct 2014","05 Nov 2014","SGD 0.003 ONE-TIER TAX"
"ELLIPSIZ LTD","DIVIDEND","23 Oct 2014","27 Oct 2014","13 Nov 2014","SGD 0.0036 ONE-TIER TAX"
"KARIN TECHNOLOGY HLDGS LIMITED","DIVIDEND","23 Oct 2014","27 Oct 2014","06 Nov 2014","HKD 0.078"
"KEPPEL REIT","DIVIDEND","23 Oct 2014","27 Oct 2014","28 Nov 2014","290914-300914 SGD 0.0003 TAX EXEMPT"
"KEPPEL REIT","DIVIDEND","23 Oct 2014","27 Oct 2014","28 Nov 2014","290914-300914 SGD 0.0002 LESS TAX"
"ST. JAMES HOLDINGS LIMITED","ENTITL.","23 Oct 2014","27 Oct 2014","","SHARE CON OFFER OF 1 FOR 50"
"CORDLIFE GROUP LIMITED","DIVIDEND","21 Oct 2014","24 Oct 2014","07 Nov 2014","SGD 0.01 ONE-TIER TAX"
"HSBC ADR 10","DIVIDEND","21 Oct 2014","24 Oct 2014","10 Dec 2014","USD 0.5"
"SABANA SHARI'AH COMPLIANT REIT","DIVIDEND","21 Oct 2014","24 Oct 2014","28 Nov 2014","010714-300914 SGD 0.0181 LESS TAX"
"ST. JAMES HOLDINGS LIMITED","ENTITL.","21 Oct 2014","24 Oct 2014","","CAP REDUCTION"
"SHANGHAI TURBO ENTERPRISES LTD","DIVIDEND","20 Oct 2014","23 Oct 2014","17 Nov 2014","CNY 0.025"
"DUTY FREE INTERNATIONALLIMITED","DIVIDEND","17 Oct 2014","21 Oct 2014","12 Nov 2014","SGD 0.0075 ONE-TIER TAX"
"SPDR DJIA ETF TRUST","DIVIDEND","17 Oct 2014","21 Oct 2014","17 Nov 2014","USD 0.14254 LESS TAX"
"SPH REIT","DIVIDEND","17 Oct 2014","21 Oct 2014","14 Nov 2014","010614-310814 SGD 0.0139 LESS TAX"
"CHINA MERCHANTS HLDGS(PACIFIC)","DIVIDEND","16 Oct 2014","20 Oct 2014","07 Nov 2014","SGD 0.035 ONE-TIER TAX"
"SIN GHEE HUAT CORPORATION LTD.","DIVIDEND","16 Oct 2014","20 Oct 2014","07 Nov 2014","SGD 0.015 ONE-TIER TAX"
"UNITED OVERSEAS AUSTRALIA LTD","DIVIDEND","15 Oct 2014","17 Oct 2014","04 Nov 2014","UNFRANK;DRP AUD 0.005"
"FRAGRANCE GROUP LIMITED","DIVIDEND","13 Oct 2014","15 Oct 2014","28 Oct 2014","SGD 0.001 ONE-TIER TAX"
"INNOPAC HOLDINGS LIMITED","RIGHTS","13 Oct 2014","15 Oct 2014","","2RH1WFOR1SH OFFER OF 2 FOR 1 @ SGD 0.01"
"TIGER AIRWAYS S$219.67M2%PERPC","INTEREST","13 Oct 2014","15 Oct 2014","23 Oct 2014","220414 - 211014 2%"
"BLUE SKY POWER HOLDINGS LIMITED","ENTITL.","10 Oct 2014","14 Oct 2014","","SHARE SPLIT OFFER OF 10 FOR 1"
"JUBILEE INDUSTRIES HLDGS LTD.","RIGHTS","10 Oct 2014","14 Oct 2014","","1RT1WTFOR2SH OFFER OF 1 FOR 2 @ SGD 0.06"
"SINGAPORE EDEV LTD W161230","ENTITL.","10 Oct 2014","14 Oct 2014","","ADJ EST102FOR23"
"GENTING SPS$500M5.125% PERPSEC","INTEREST","09 Oct 2014","13 Oct 2014","20 Oct 2014","180414 - 171014 5.125%"
"HYFLUX 6% CUM PREF CLASS A 10","DIVIDEND","09 Oct 2014","13 Oct 2014","27 Oct 2014","250414-241014 6% ONE-TIER TAX"
"TEE LAND LIMITED","DIVIDEND","09 Oct 2014","13 Oct 2014","03 Nov 2014","SGD 0.0075 ONE-TIER TAX"
"UMS HOLDINGS LIMITED","DIVIDEND","07 Oct 2014","09 Oct 2014","28 Oct 2014","SGD 0.01 ONE-TIER TAX"
"NEW TOYO INT HLDGS LTD","DIVIDEND","03 Oct 2014","08 Oct 2014","17 Oct 2014","SGD 0.006 ONE-TIER TAX"
"SELECT GROUP LIMITED","DIVIDEND","02 Oct 2014","07 Oct 2014","24 Oct 2014","SGD 0.007 ONE-TIER TAX"
"CHASEN HOLDINGS LIMITED","DIVIDEND","01 Oct 2014","03 Oct 2014","28 Oct 2014","SGD 0.001 ONE-TIER TAX"
"SINGAPORE EXCHANGE LIMITED","DIVIDEND","01 Oct 2014","03 Oct 2014","13 Oct 2014","SGD 0.16 ONE-TIER TAX"
"LIAN BENG GROUP LTD","DIVIDEND","30 Sep 2014","02 Oct 2014","16 Oct 2014","SGD 0.0125 ONE-TIER TAX"
"LIAN BENG GROUP LTD","DIVIDEND","30 Sep 2014","02 Oct 2014","16 Oct 2014","SGD 0.01 ONE-TIER TAX"
"JB FOODS LIMITED","RIGHTS","29 Sep 2014","01 Oct 2014","","OFFER OF 1 FOR 2 @ SGD 0.12"
"AIMS PROPERTY SECURITIES FUND","DIVIDEND","26 Sep 2014","30 Sep 2014","19 Dec 2014","AUD 0.001088"
"MURATA MFG CO. LTD 100","DIVIDEND","26 Sep 2014","30 Sep 2014","01 Dec 2014","JPY 80 LESS TAX"
"VIBROPOWER CORPORATION LIMITED","DIVIDEND","26 Sep 2014","30 Sep 2014","16 Oct 2014","SGD 0.0012 ONE-TIER TAX"
"MIZUHO FINANCIAL ADR 10","DIVIDEND","25 Sep 2014","29 Sep 2014","15 Dec 2014","USD 0.051821"
"MUFJ FINANCIAL ADR 10","DIVIDEND","25 Sep 2014","29 Sep 2014","15 Dec 2014","USD 0.066628"
"NTT DOCOMO ADR 10","DIVIDEND","25 Sep 2014","29 Sep 2014","01 Dec 2014","USD 0.213905"
"TOYOTA MOTOR ADR 10","DIVIDEND","25 Sep 2014","29 Sep 2014","08 Dec 2014","USD 1.136842"
"XYEC HOLDINGS CO. LTD.","DIVIDEND","25 Sep 2014","29 Sep 2014","28 Nov 2014","JPY 0.5 LESS TAX"
"ISHARES DJ US TECH IYW 10","DIVIDEND","24 Sep 2014","26 Sep 2014","30 Sep 2014","USD 0.279087 LESS TAX"
"ISHARES S&P500 IVV 10","DIVIDEND","24 Sep 2014","26 Sep 2014","30 Sep 2014","USD 0.933808 LESS TAX"
"KEPPEL REIT","DIVIDEND","24 Sep 2014","26 Sep 2014","12 Nov 2014","010714-280914 SGD 0.0063 TAX EXEMPT"
"KEPPEL REIT","DIVIDEND","24 Sep 2014","26 Sep 2014","12 Nov 2014","010714-280914 SGD 0.001"
"KEPPEL REIT","DIVIDEND","24 Sep 2014","26 Sep 2014","12 Nov 2014","010714-280914 SGD 0.0107 LESS TAX"
"N509100N 141001","INTEREST","23 Sep 2014","25 Sep 2014","01 Oct 2014","1.375%"
"N509100N 141001","ENTITL.","23 Sep 2014","25 Sep 2014","01 Oct 2014","REDEMPTION 100%"
"N511100W 160401","INTEREST","23 Sep 2014","25 Sep 2014","01 Oct 2014","1.125%"
"N513100T 180401","INTEREST","23 Sep 2014","25 Sep 2014","01 Oct 2014","0.5%"
"N710100Z 170401","INTEREST","23 Sep 2014","25 Sep 2014","01 Oct 2014","2.375%"
"NA12100N 420401","INTEREST","23 Sep 2014","25 Sep 2014","01 Oct 2014","2.75%"
"OSIM INTERNATIONAL LTD","DIVIDEND","23 Sep 2014","25 Sep 2014","02 Oct 2014","SGD 0.02 ONE-TIER TAX"
"SHANGRI-LA ASIA LIMITED","DIVIDEND","23 Sep 2014","25 Sep 2014","07 Oct 2014","HKD 0.06"
"SIA $300M 2.15%B150930","INTEREST","19 Sep 2014","23 Sep 2014","30 Sep 2014","300314 - 290914 2.15%"
"SPDR DJIA ETF TRUST","DIVIDEND","19 Sep 2014","23 Sep 2014","14 Oct 2014","USD 0.41264 LESS TAX"
"SPDR S&P 500 ETF TRUST","DIVIDEND","19 Sep 2014","23 Sep 2014","31 Oct 2014","USD 0.93919 LESS TAX"
"BOARDROOM LIMITED","DIVIDEND","18 Sep 2014","22 Sep 2014","11 Nov 2014","SCRIPDIVSCHEME SGD 0.02 ONE-TIER TAX"
"CIMB S&P ASIA PACIFIC DIVIDEND","DIVIDEND","18 Sep 2014","22 Sep 2014","30 Sep 2014","USD 0.0452"
"CIMB S&P ASIA PACIFIC DIVIDEND","DIVIDEND","18 Sep 2014","22 Sep 2014","30 Sep 2014","USD 0.0098 ONE-TIER TAX"
"RIVERSTONE HOLDINGS LIMITED","DIVIDEND","18 Sep 2014","22 Sep 2014","09 Oct 2014","MYR 0.0235 ONE-TIER TAX"
"TOTAL ADR 10","DIVIDEND","18 Sep 2014","22 Sep 2014","10 Oct 2014","USD 0.68919"
"ASIAN PAY TELEVISION TRUST","DIVIDEND","17 Sep 2014","19 Sep 2014","26 Sep 2014","010114 - 300614 SGD 0.0412 TAX EXEMPT"
"JACKS INTERNATIONAL LIMITED","DIVIDEND","17 Sep 2014","19 Sep 2014","02 Oct 2014","SGD 0.003 ONE-TIER TAX"
"LONGCHEER HOLDINGS LIMITED","DIVIDEND","17 Sep 2014","19 Sep 2014","26 Sep 2014","SGD 0.1423 ONE-TIER TAX"
"YUEXIU PROPERTY CO LIMITED","RIGHTS","17 Sep 2014","19 Sep 2014","","OFFER OF 33 FOR 100 @ HKD 1.25"
"YUEXIU PROPERTY CO LIMITED","DIVIDEND","17 Sep 2014","19 Sep 2014","05 Nov 2014","HKD 0.049"
"TAN CHONG INT'L LTD","DIVIDEND","16 Sep 2014","18 Sep 2014","25 Sep 2014","HKD 0.025"
"NEO GROUP LIMITED","DIVIDEND","15 Sep 2014","17 Sep 2014","24 Sep 2014","SGD 0.0105 ONE-TIER TAX"
"SAKAE HOLDINGS LTD.","DIVIDEND","15 Sep 2014","17 Sep 2014","24 Sep 2014","SGD 0.005 ONE-TIER TAX"
"POH TIONG CHOON LOGISTICS LTD","DIVIDEND","12 Sep 2014","16 Sep 2014","30 Sep 2014","SGD 0.005 ONE-TIER TAX"
"BEST WORLD INTERNATIONAL LTD","DIVIDEND","11 Sep 2014","15 Sep 2014","03 Oct 2014","SGD 0.003 ONE-TIER TAX"
"AZEUS SYSTEMS HOLDINGS LTD.","DIVIDEND","10 Sep 2014","12 Sep 2014","22 Sep 2014","HKD 0.0621"
"SMARTFLEX HOLDINGS LTD","DIVIDEND","10 Sep 2014","12 Sep 2014","30 Sep 2014","SGD 0.005 ONE-TIER TAX"
"ZHONGMIN BAIHUI RETAIL GRP LTD","DIVIDEND","10 Sep 2014","12 Sep 2014","26 Sep 2014","SGD 0.01 ONE-TIER TAX"
"MEGACHEM LIMITED","DIVIDEND","09 Sep 2014","11 Sep 2014","30 Sep 2014","SGD 0.003 ONE-TIER TAX"
"PETROCHINA ADR 10","DIVIDEND","09 Sep 2014","11 Sep 2014","09 Oct 2014","USD 2.420275"
"CROESUS RETAIL TRUST","DIVIDEND","08 Sep 2014","10 Sep 2014","26 Sep 2014","010114 - 300614 SGD 0.0374 TAX EXEMPT"
"CROESUS RETAIL TRUST","DIVIDEND","08 Sep 2014","10 Sep 2014","26 Sep 2014","010714-100914 SGD 0.0166 TAX EXEMPT"
"EZION HOLDINGS LIMITED","BONUS","08 Sep 2014","10 Sep 2014","","OFFER OF 1 FOR 5"
"GOLDEN OCEAN GROUP LIMITED","DIVIDEND","08 Sep 2014","10 Sep 2014","25 Sep 2014","USD 0.025"
"POPULAR HOLDINGS LIMITED","DIVIDEND","08 Sep 2014","10 Sep 2014","24 Sep 2014","SGD 0.01 ONE-TIER TAX"
"SINOSTAR PEC HOLDINGS LIMITED","DIVIDEND","08 Sep 2014","10 Sep 2014","17 Sep 2014","SGD 0.01 ONE-TIER TAX"
"EMS ENERGY LIMITED","RIGHTS","05 Sep 2014","09 Sep 2014","","OFFER OF 1 FOR 1 @ SGD 0.02"
"GOODPACK LIMITED","ENTITL.","04 Sep 2014","08 Sep 2014","12 Sep 2014","SCHEMEOFARRANGE SGD 2.5"
"KINGSMEN CREATIVES LTD","DIVIDEND","04 Sep 2014","08 Sep 2014","17 Sep 2014","SGD 0.015 ONE-TIER TAX"
"OCBC CAP 3.93% S$400M NCPS 10","DIVIDEND","04 Sep 2014","08 Sep 2014","22 Sep 2014","200314 - 190914 3.93%"
"OCBCCAPCORP(2008) 5.1%NCPS 100","DIVIDEND","04 Sep 2014","08 Sep 2014","22 Sep 2014","200314 - 190914 5.1%"
"STAMFORD TYRES CORPORATIONLTD","DIVIDEND","04 Sep 2014","08 Sep 2014","18 Sep 2014","SGD 0.015 ONE-TIER TAX"
"XMH HOLDINGS LTD.","DIVIDEND","04 Sep 2014","08 Sep 2014","18 Sep 2014","SGD 0.002 ONE-TIER TAX"
"XMH HOLDINGS LTD.","DIVIDEND","04 Sep 2014","08 Sep 2014","18 Sep 2014","SGD 0.01 ONE-TIER TAX"
"AVJENNINGS LIMITED","DIVIDEND","03 Sep 2014","05 Sep 2014","18 Sep 2014","FULLY FRANKED AUD 0.02"
"CDW HOLDING LIMITED","DIVIDEND","02 Sep 2014","04 Sep 2014","12 Sep 2014","USD 0.005"
"CHINAMOBILE ADR 10","DIVIDEND","02 Sep 2014","04 Sep 2014","09 Oct 2014","USD 0.892006"
"SAIZEN REAL ESTATE INV TRUST","DIVIDEND","02 Sep 2014","04 Sep 2014","26 Sep 2014","SGD 0.031 TAX EXEMPT"
"BROADWAY INDUSTRIAL GROUP LTD","RIGHTS","01 Sep 2014","03 Sep 2014","","OFFER OF 2 FOR 15 @ SGD 0.18"
"CAPTII LIMITED","DIVIDEND","01 Sep 2014","03 Sep 2014","15 Sep 2014","SGD 0.002 ONE-TIER TAX"
"ISHARES ASIA LC 1-3Y BOND ETF","DIVIDEND","01 Sep 2014","03 Sep 2014","25 Sep 2014","USD 0.04"
"ISHARES ASIA LOC CUR BOND ETF","DIVIDEND","01 Sep 2014","03 Sep 2014","25 Sep 2014","USD 0.08"
"ISHARES USD ASIA BOND ETF","DIVIDEND","01 Sep 2014","03 Sep 2014","25 Sep 2014","USD 0.11"
"ISHARES USD ASIA HY BOND ETF","DIVIDEND","01 Sep 2014","03 Sep 2014","25 Sep 2014","USD 0.16"
"LEE METAL GROUP LTD","DIVIDEND","01 Sep 2014","03 Sep 2014","16 Sep 2014","SGD 0.005 ONE-TIER TAX"
"FIRST RESOURCES LIMITED","DIVIDEND","29 Aug 2014","02 Sep 2014","18 Sep 2014","SGD 0.0125 ONE-TIER TAX"
"LUNG KEE (BERMUDA) HLDGS LTD","DIVIDEND","29 Aug 2014","02 Sep 2014","17 Sep 2014","HKD 0.06"
"SITRA HOLDINGS (INTL) LIMITED","RIGHTS","29 Aug 2014","02 Sep 2014","","OFFER OF 7 FOR 5 @ SGD 0.01"
"FRASERS COMMERCIAL TRUST CPPU","DIVIDEND","28 Aug 2014","01 Sep 2014","01 Oct 2014","SGD 0.013863 LESS TAX"
"SINGAPORE KITCHEN EQUIPMENTLTD","DIVIDEND","28 Aug 2014","01 Sep 2014","15 Sep 2014","SGD 0.0025 ONE-TIER TAX"
"TAT SENG PACKAGING GROUP LTD","DIVIDEND","28 Aug 2014","01 Sep 2014","16 Sep 2014","SGD 0.01 ONE-TIER TAX"
"ABR HOLDINGS LIMITED","DIVIDEND","27 Aug 2014","29 Aug 2014","18 Sep 2014","SGD 0.01 ONE-TIER TAX"
"ASIATIC GROUP (HOLDINGS) LTD","DIVIDEND","27 Aug 2014","29 Aug 2014","18 Sep 2014","SGD 0.0005 ONE-TIER TAX"
"JARDINE CYCLE & CARRIAGE LTD","DIVIDEND","27 Aug 2014","29 Aug 2014","09 Oct 2014","USD 0.18 ONE-TIER TAX"
"NETEASE ADR 10","DIVIDEND","27 Aug 2014","29 Aug 2014","05 Sep 2014","USD 0.36"
"ASPIAL CORPORATION LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","10 Oct 2014","SCRIP DIV SCHEM SGD 0.01 ONE-TIER TAX"
"HEETON HOLDINGS LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","08 Sep 2014","SGD 0.005 ONE-TIER TAX"
"HONG LEONG ASIA LTD.","DIVIDEND","26 Aug 2014","28 Aug 2014","12 Sep 2014","SGD 0.01 ONE-TIER TAX"
"HONG LEONG FINANCE LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","15 Sep 2014","SGD 0.04 ONE-TIER TAX"
"INNOVALUES LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","11 Sep 2014","SGD 0.006 ONE-TIER TAX"
"ORIENTAL GROUP LTD.","DIVIDEND","26 Aug 2014","28 Aug 2014","10 Sep 2014","SGD 0.0015 ONE-TIER TAX"
"SERIAL SYSTEM LTD","DIVIDEND","26 Aug 2014","28 Aug 2014","08 Sep 2014","SGD 0.003 ONE-TIER TAX"
"SINWA LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","10 Sep 2014","SGD 0.0175 ONE-TIER TAX"
"VIBRANT GROUP LIMITED","DIVIDEND","26 Aug 2014","28 Aug 2014","14 Oct 2014","SCRIP DIV SGD 0.0055 ONE-TIER TAX"
"CNMC GOLDMINE HOLDINGS LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","08 Sep 2014","SGD 0.0015 ONE-TIER TAX"
"FALCON ENERGY GROUP LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","18 Sep 2014","SGD 0.01 ONE-TIER TAX"
"GLOBAL INVESTMENTS LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","10 Oct 2014","SCRIP DIV SGD 0.0075 ONE-TIER TAX"
"HTL INT'L HOLDINGS LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","11 Sep 2014","SGD 0.01 ONE-TIER TAX"
"LIBRA GROUP LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","08 Sep 2014","SGD 0.005 ONE-TIER TAX"
"OVERSEA-CHINESE BANKING CORP","RIGHTS","25 Aug 2014","27 Aug 2014","","OFFER OF 1 FOR 8 @ SGD 7.65"
"OVERSEA-CHINESE BANKING CORP","DIVIDEND","25 Aug 2014","27 Aug 2014","16 Oct 2014","SCRIP DIV SGD 0.18 ONE-TIER TAX"
"PETRA FOODS LIMITED","DIVIDEND","25 Aug 2014","27 Aug 2014","09 Sep 2014","SGD 0.0273 ONE-TIER TAX"
"RICKMERS MARITIME","DIVIDEND","25 Aug 2014","27 Aug 2014","10 Sep 2014","010414 - 300614 USD 0.006 TAX EXEMPT"
"SUPER GROUP LTD.","DIVIDEND","25 Aug 2014","27 Aug 2014","05 Sep 2014","SGD 0.01 ONE-TIER TAX"
"TECKWAH INDUSTRIAL CORP LTD","DIVIDEND","25 Aug 2014","27 Aug 2014","10 Sep 2014","SGD 0.005 ONE-TIER TAX"
"THAI BEVERAGE PUBLIC CO LTD","DIVIDEND","25 Aug 2014","27 Aug 2014","11 Sep 2014","THB 0.15 LESS TAX"
"CSC HOLDINGS LTD","DIVIDEND","22 Aug 2014","26 Aug 2014","05 Sep 2014","SGD 0.001 ONE-TIER TAX"
"LONGCHEER HOLDINGS LIMITED","DIVIDEND","22 Aug 2014","26 Aug 2014","02 Sep 2014","SGD 0.1139 ONE-TIER TAX"
"NY01100F 160901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3.75%"
"NY03100A 180901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","4%"
"NY05100N 200901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3.25%"
"NY07100X 220901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3.125%"
"NY09100H 240901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3%"
"NZ07100S 270301","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3.5%"
"NZ10100F 300901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","2.875%"
"NZ13100V 330901","INTEREST","22 Aug 2014","26 Aug 2014","01 Sep 2014","3.375%"
"SINGAPORE EDEVELOPMENT LIMITED","RIGHTS","22 Aug 2014","26 Aug 2014","","1BS FOR 1RS OFFER OF 12 FOR 1 @ SGD 0.003"
"BUND CENTER INVESTMENT LTD","DIVIDEND","21 Aug 2014","25 Aug 2014","03 Sep 2014","SGD 0.032"
"CITY DEVELOPMENTS LIMITED","DIVIDEND","21 Aug 2014","25 Aug 2014","10 Sep 2014","SGD 0.04 ONE-TIER TAX"
"HAW PAR CORP LTD","DIVIDEND","21 Aug 2014","25 Aug 2014","04 Sep 2014","SGD 0.06 ONE-TIER TAX"
"PAN-UNITED CORPORATION LTD","DIVIDEND","21 Aug 2014","25 Aug 2014","09 Sep 2014","SGD 0.015 ONE-TIER TAX"
"QAF LTD","DIVIDEND","21 Aug 2014","25 Aug 2014","10 Sep 2014","SGD 0.01 ONE-TIER TAX"
"UNITED OVERSEAS INSURANCE LTD","DIVIDEND","21 Aug 2014","25 Aug 2014","02 Sep 2014","SGD 0.03 ONE-TIER TAX"
"DAIRY FARM INT'L HOLDINGS LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","15 Oct 2014","USD 0.065"
"DESIGN STUDIO GROUP LTD.","DIVIDEND","20 Aug 2014","22 Aug 2014","08 Sep 2014","SGD 0.005 ONE-TIER TAX"
"ES GROUP (HOLDINGS) LIMITED","DIVIDEND","20 Aug 2014","22 Aug 2014","04 Sep 2014","SGD 0.002 ONE-TIER TAX"
"HONGKONG LAND HOLDINGS LIMITED","DIVIDEND","20 Aug 2014","22 Aug 2014","15 Oct 2014","USD 0.06"
"HSBC ADR 10","DIVIDEND","20 Aug 2014","22 Aug 2014","09 Oct 2014","USD 0.5"
"JARDINE MATHESON HLDGS LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","15 Oct 2014","SCRIP ALT USD 0.38"
"JARDINE STRATEGIC HLDGS LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","15 Oct 2014","SCRIP ALT USD 0.08"
"MANDARIN ORIENTAL INTL LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","15 Oct 2014","USD 0.02"
"OUE LIMITED","DIVIDEND","20 Aug 2014","22 Aug 2014","03 Sep 2014","SGD 0.01 ONE-TIER TAX"
"PLASTOFORM HOLDINGS LIMITED","RIGHTS","20 Aug 2014","22 Aug 2014","","OFFER OF 1 FOR 2 @ SGD 0.008"
"PRUDENTIAL PLC","DIVIDEND","20 Aug 2014","22 Aug 2014","02 Oct 2014","GBP 0.1119"
"SINGAPORE REINSURANCE COR LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","10 Sep 2014","SGD 0.007 ONE-TIER TAX"
"TRANSIT-MIXED CONCRETE LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","10 Sep 2014","SGD 0.015 ONE-TIER TAX"
"TYE SOON LTD","DIVIDEND","20 Aug 2014","22 Aug 2014","04 Sep 2014","SGD 0.00287 ONE-TIER TAX"
"BREADTALK GROUP LIMITED","DIVIDEND","19 Aug 2014","21 Aug 2014","05 Sep 2014","SGD 0.005 ONE-TIER TAX"
"COMFORTDELGRO CORPORATION LTD","DIVIDEND","19 Aug 2014","21 Aug 2014","28 Aug 2014","SGD 0.0375 ONE-TIER TAX"
"GP BATTERIES INT LTD","DIVIDEND","19 Aug 2014","21 Aug 2014","01 Sep 2014","SGD 0.01 ONE-TIER TAX"
"GREAT EASTERN HLDGS LTD","DIVIDEND","19 Aug 2014","21 Aug 2014","03 Sep 2014","SGD 0.1 ONE-TIER TAX"
"HISAKA HOLDINGS LTD.","DIVIDEND","19 Aug 2014","21 Aug 2014","01 Sep 2014","SGD 0.0075 ONE-TIER TAX"
"KEPPEL INFRASTRUCTURE TRUST","DIVIDEND","19 Aug 2014","21 Aug 2014","29 Aug 2014","010414-300614 SGD 0.0082 TAX EXEMPT"
"Q & M DENTAL GROUP (S) LIMITED","DIVIDEND","19 Aug 2014","21 Aug 2014","03 Sep 2014","SGD 0.0041 ONE-TIER TAX"
"RAFFLES MEDICAL GROUP LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","29 Aug 2014","SGD 0.015 ONE-TIER TAX"
"SARINE TECHNOLOGIES LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","29 Aug 2014","USD 0.01 LESS TAX"
"SARINE TECHNOLOGIES LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","29 Aug 2014","USD 0.02 LESS TAX"
"SBS TRANSIT LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","27 Aug 2014","SGD 0.0125 ONE-TIER TAX"
"SINGAPORE POST LIMITED","DIVIDEND","18 Aug 2014","20 Aug 2014","29 Aug 2014","SGD 0.0125 ONE-TIER TAX"
"SINGAPORE TECH ENGINEERING LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","04 Sep 2014","SGD 0.04 ONE-TIER TAX"
"TAT HONG HOLDINGS LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","28 Aug 2014","SGD 0.01 ONE-TIER TAX"
"UNITED OVERSEAS BANK LTD","DIVIDEND","18 Aug 2014","20 Aug 2014","28 Aug 2014","SGD 0.2 ONE-TIER TAX"
"CSE GLOBAL LTD","DIVIDEND","15 Aug 2014","19 Aug 2014","27 Aug 2014","SGD 0.0125 ONE-TIER TAX"
"ECOWISE HOLDINGS LIMITED","DIVIDEND","15 Aug 2014","19 Aug 2014","28 Aug 2014","SGD 0.0005 ONE-TIER TAX"
"NERATELECOMMUNICATIONS LTD","DIVIDEND","15 Aug 2014","19 Aug 2014","29 Aug 2014","SGD 0.02 ONE-TIER TAX"
"SEMBCORP INDUSTRIES LTD","DIVIDEND","15 Aug 2014","19 Aug 2014","02 Sep 2014","SGD 0.05 ONE-TIER TAX"
"SEMBCORP MARINE LTD","DIVIDEND","15 Aug 2014","19 Aug 2014","29 Aug 2014","SGD 0.05 ONE-TIER TAX"
"SPDR DJIA ETF TRUST","DIVIDEND","15 Aug 2014","19 Aug 2014","15 Sep 2014","USD 0.29591 LESS TAX"
"VICOM LTD","DIVIDEND","15 Aug 2014","19 Aug 2014","26 Aug 2014","SGD 0.0875 ONE-TIER TAX"
"CHALLENGER TECHNOLOGIES LTD","DIVIDEND","14 Aug 2014","18 Aug 2014","29 Aug 2014","SGD 0.011 ONE-TIER TAX"
"ELEC & ELTEK INT CO LTD","DIVIDEND","14 Aug 2014","18 Aug 2014","29 Aug 2014","USD 0.03 ONE-TIER TAX"
"FRAGRANCE GROUP LIMITED","DIVIDEND","14 Aug 2014","18 Aug 2014","28 Aug 2014","SGD 0.004 ONE-TIER TAX"
"HYFLUX LTD","DIVIDEND","14 Aug 2014","18 Aug 2014","05 Sep 2014","SGD 0.007 ONE-TIER TAX"
"ROXY-PACIFIC HOLDINGS LIMITED","DIVIDEND","14 Aug 2014","18 Aug 2014","28 Aug 2014","SGD 0.00616 ONE-TIER TAX"
